mode,file,type,op,delta
MSE,cc2_remove_meander,PrivilegeEscalate,type_upgrade,0.0
MSE,cc2_remove_meander,PrivilegeEscalate,type_downgrade,2.5
MSE,cc2_remove_meander,PrivilegeEscalate,type_random_cross,2.5
MSE,cc2_remove_meander,PrivilegeEscalate,type_freq_weighted_cross,1.0
MSE,cc2_remove_meander,PrivilegeEscalate,time_shift_-2,0.15840000000000032
MSE,cc2_remove_meander,PrivilegeEscalate,time_shift_-1,0.08000000000000007
MSE,cc2_remove_meander,PrivilegeEscalate,time_shift_+1,0.0
MSE,cc2_remove_meander,PrivilegeEscalate,time_shift_+2,0.0
MSE,cc2_remove_meander,ExploitRemoteService,none,0.0
MSE,cc2_remove_meander,DiscoverNetworkServices,none,0.0
MSE,cc2_remove_meander,DiscoverRemoteSystems,none,0.0
MCE,cc2_remove_meander,PrivilegeEscalate,type_upgrade,0.0
MCE,cc2_remove_meander,PrivilegeEscalate,type_downgrade,2.5
MCE,cc2_remove_meander,PrivilegeEscalate,type_random_cross,1.0
MCE,cc2_remove_meander,PrivilegeEscalate,type_freq_weighted_cross,2.5
MCE,cc2_remove_meander,PrivilegeEscalate,time_shift_-2,0.15840000000000032
MCE,cc2_remove_meander,PrivilegeEscalate,time_shift_-1,0.08000000000000007
MCE,cc2_remove_meander,PrivilegeEscalate,time_shift_+1,0.0
MCE,cc2_remove_meander,PrivilegeEscalate,time_shift_+2,0.0
MCE,cc2_remove_meander,ExploitRemoteService,none,0.0
MCE,cc2_remove_meander,DiscoverNetworkServices,none,0.0
MCE,cc2_remove_meander,DiscoverRemoteSystems,none,0.0
MSE,cc2_remove_bline,PrivilegeEscalate,type_upgrade,0.0
MSE,cc2_remove_bline,PrivilegeEscalate,type_downgrade,2.5
MSE,cc2_remove_bline,PrivilegeEscalate,type_random_cross,1.0
MSE,cc2_remove_bline,PrivilegeEscalate,type_freq_weighted_cross,2.5
MSE,cc2_remove_bline,PrivilegeEscalate,time_shift_-2,0.15840000000000032
MSE,cc2_remove_bline,PrivilegeEscalate,time_shift_-1,0.08000000000000007
MSE,cc2_remove_bline,PrivilegeEscalate,time_shift_+1,0.0
MSE,cc2_remove_bline,PrivilegeEscalate,time_shift_+2,0.0
MSE,cc2_remove_bline,ExploitRemoteService,none,0.0
MSE,cc2_remove_bline,DiscoverNetworkServices,none,0.0
MSE,cc2_remove_bline,DiscoverRemoteSystems,none,0.0
MCE,cc2_remove_bline,PrivilegeEscalate,type_upgrade,0.0
MCE,cc2_remove_bline,PrivilegeEscalate,type_downgrade,2.5
MCE,cc2_remove_bline,PrivilegeEscalate,type_random_cross,1.0
MCE,cc2_remove_bline,PrivilegeEscalate,type_freq_weighted_cross,2.8
MCE,cc2_remove_bline,PrivilegeEscalate,time_shift_-2,0.15840000000000032
MCE,cc2_remove_bline,PrivilegeEscalate,time_shift_-1,0.08000000000000007
MCE,cc2_remove_bline,PrivilegeEscalate,time_shift_+1,0.0
MCE,cc2_remove_bline,PrivilegeEscalate,time_shift_+2,0.0
MCE,cc2_remove_bline,ExploitRemoteService,none,0.0
MCE,cc2_remove_bline,DiscoverNetworkServices,none,0.0
MCE,cc2_remove_bline,DiscoverRemoteSystems,none,0.0
