mode,offset,delta,file
MSE,-5,-0.18078415935999992,cc2_remove_meander
MSE,-3,-0.18823840000000036,cc2_remove_meander
MSE,-1,-0.19599999999999973,cc2_remove_meander
MSE,0,-0.20000000000000018,cc2_remove_meander
MSE,1,-0.20000000000000018,cc2_remove_meander
MSE,3,-0.20000000000000018,cc2_remove_meander
MSE,5,-0.20000000000000018,cc2_remove_meander
MCE,-5,-0.18078415935999992,cc2_remove_meander
MCE,-3,-0.18823840000000036,cc2_remove_meander
MCE,-1,-0.19599999999999973,cc2_remove_meander
MCE,0,-0.20000000000000018,cc2_remove_meander
MCE,1,-0.20000000000000018,cc2_remove_meander
MCE,3,-0.20000000000000018,cc2_remove_meander
MCE,5,-0.20000000000000018,cc2_remove_meander
MSE,-5,-0.18078415935999992,cc2_remove_bline
MSE,-3,-0.18823840000000036,cc2_remove_bline
MSE,-1,-0.19599999999999973,cc2_remove_bline
MSE,0,-0.20000000000000018,cc2_remove_bline
MSE,1,-0.20000000000000018,cc2_remove_bline
MSE,3,-0.20000000000000018,cc2_remove_bline
MSE,5,-0.20000000000000018,cc2_remove_bline
MCE,-5,-0.18078415935999992,cc2_remove_bline
MCE,-3,-0.18823840000000036,cc2_remove_bline
MCE,-1,-0.19599999999999973,cc2_remove_bline
MCE,0,-0.20000000000000018,cc2_remove_bline
MCE,1,-0.20000000000000018,cc2_remove_bline
MCE,3,-0.20000000000000018,cc2_remove_bline
MCE,5,-0.20000000000000018,cc2_remove_bline
